#  Arkansas Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
200405,61.0,3.6
200406,66.8,1.4
200407,68.2,-0.7
200408,64.5,-3.2
200409,60.1,-0.8
200410,55.8,6.8
200411,45.9,7.4
200412,30.2,-1.3
200501,36.2,7.1
200502,38.3,5.9
200503,38.8,-1.1
200504,49.1,0.2
200505,55.0,-2.4
200506,66.0,0.6
200507,69.4,0.5
200508,70.5,2.8
200509,64.7,3.8
200510,48.9,-0.1
200511,41.8,3.3
200512,28.7,-2.8
200601,35.8,6.7
200602,30.1,-2.3
200603,41.8,1.9
200604,54.4,5.5
200605,59.0,1.6
200606,64.6,-0.8
200607,69.2,0.3
200608,70.8,3.1
200609,56.9,-4.0
200610,47.7,-1.3
200611,39.9,1.4
200612,34.5,3.0
200701,31.1,2.0
200702,30.4,-2.0
200703,47.4,7.5
200704,45.6,-3.3
200705,60.0,2.6
200706,66.8,1.4
200707,68.1,-0.8
200708,71.5,3.8
200709,63.4,2.5
200710,52.8,3.8
200711,41.3,2.8
200712,33.9,2.4
200801,28.6,-0.5
200802,32.9,0.5
200803,40.1,0.2
200804,47.4,-1.5
200805,57.0,-0.4
200806,67.5,2.1
200807,69.1,0.2
200808,68.0,0.3
200809,61.3,0.4
200810,47.5,-1.5
200811,37.5,-1.0
200812,29.9,-1.6
200901,27.8,-1.3
200902,35.8,3.4
200903,42.1,2.2
200904,48.4,-0.5
200905,58.2,0.8
200906,67.9,2.5
200907,67.5,-1.4
200908,66.3,-1.4
200909,62.6,1.7
200910,47.9,-1.1
200911,42.8,4.3
200912,29.4,-2.1
201001,27.6,-1.5
201002,28.0,-4.4
201003,38.7,-1.2
201004,51.0,2.1
201005,60.4,3.0
201006,71.1,5.7
201007,72.2,3.3
201008,72.1,4.4
201009,62.5,1.6
201010,47.1,-1.9
201011,40.3,1.8
201012,28.8,-2.7
201101,27.5,-1.6
201102,33.5,1.1
201103,41.7,1.8
201104,51.4,2.5
201105,56.8,-0.6
201106,70.2,4.8
201107,73.0,4.1
201108,71.3,3.6
201109,57.1,-3.8
201110,46.4,-2.6
201111,43.8,5.3
201112,34.0,2.5
201201,33.4,4.3
201202,37.6,5.2
201203,50.4,10.5
201204,52.8,3.9
201205,61.2,3.8
201206,65.1,-0.3
201207,72.4,3.5
201208,68.0,0.3
201209,62.5,1.6
201210,47.9,-1.1
201211,37.0,-1.5
201212,36.3,4.8
201301,32.6,3.5
201302,33.4,1.0
201303,35.7,-4.2
201304,46.7,-2.2
201305,56.7,-0.7
201306,66.7,1.3
201307,66.9,-2.0
201308,68.0,0.3
201309,62.8,1.9
201310,51.3,2.3
201311,37.0,-1.5
201312,30.6,-0.9
201401,23.0,-6.1
201402,28.3,-4.1
201403,34.2,-5.7
201404,48.0,-0.9
201405,57.7,0.3
201406,67.9,2.5
201407,65.4,-3.5
201408,68.2,0.5
201409,62.0,1.1
201410,51.8,2.8
201411,34.3,-4.2
201412,36.6,5.1
201501,28.0,-1.1
201502,26.1,-6.3
201503,40.3,0.4
201504,52.1,3.2
201505,59.4,2.0
201506,68.5,3.1
201507,72.3,3.4
201508,66.7,-1.0
201509,62.8,1.9
201510,51.1,2.1
201511,44.8,6.3
201512,39.2,7.7
201601,29.6,0.5
201602,35.7,3.3
201603,44.2,4.3
201604,51.5,2.6
201605,56.7,-0.7
201606,68.7,3.3
201607,72.0,3.1
201608,71.5,3.8
201609,64.2,3.3
201610,54.5,5.5
201611,43.6,5.1
201612,32.8,1.3
201701,36.1,7.0
201702,41.3,8.9
201703,44.2,4.3
201704,53.0,4.1
201705,56.4,-1.0
201706,65.7,0.3
201707,70.5,1.6
201708,68.3,0.6
201709,61.4,0.5
201710,49.8,0.8
201711,42.4,3.9
201712,32.4,0.9
201801,25.3,-3.8
201802,36.0,3.6
201803,42.2,2.3
201804,43.0,-5.9
201805,63.8,6.4
201806,69.2,3.8
201807,71.0,2.1
201808,68.8,1.1
201809,66.2,5.3
201810,52.8,3.8
201811,35.7,-2.8
201812,35.6,4.1
201901,32.0,2.9
201902,36.6,4.2
201903,38.2,-1.7
201904,49.7,0.8
201905,60.5,3.1
201906,65.5,0.1
201907,69.4,0.5
201908,70.5,2.8
201909,68.4,7.5
201910,49.3,0.3
201911,34.8,-3.7
201912,35.3,3.8
202001,35.3,6.2
202002,35.4,3.0
202003,47.1,7.2
202004,47.8,-1.1
202005,56.4,-1.0
202006,66.1,0.7
202007,71.9,3.0
202008,67.5,-0.2
202009,62.6,1.7
202010,48.4,-0.6
202011,41.9,3.4
202012,31.8,0.3
202101,32.6,3.5
202102,26.0,-6.4
202103,43.2,3.3
202104,46.8,-2.1
202105,56.6,-0.8
202106,67.2,1.8
202107,69.3,0.4
202108,70.7,3.0
202109,62.1,1.2
202110,54.3,5.3
202111,37.0,-1.5
202112,42.8,11.3
202201,26.6,-2.5
202202,30.0,-2.4
202203,39.1,-0.8
202204,48.5,-0.4
202205,60.6,3.2
202206,67.1,1.7
202207,72.6,3.7
202208,69.8,2.1
202209,60.8,-0.1
202210,47.1,-1.9
202211,39.0,0.5
202212,34.5,3.0
