#  New York Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,0
199705,0,-11
199706,86,10
199707,191,-5
199708,143,-10
199709,30,-6
199710,0,-1
199711,0,0
199712,0,0
199801,0,0
199802,0,0
199803,0,0
199804,0,0
199805,34,23
199806,67,-9
199807,207,11
199808,217,64
199809,66,30
199810,0,-1
199811,0,0
199812,0,0
199901,0,0
199902,0,0
199903,0,0
199904,0,0
199905,17,6
199906,141,65
199907,310,114
199908,174,21
199909,67,31
199910,0,-1
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,0,0
200004,0,0
200005,16,5
200006,82,6
200007,117,-79
200008,135,-18
200009,29,-7
200010,0,-1
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,0
200105,17,6
200106,118,42
200107,130,-66
200108,263,110
200109,40,4
200110,2,1
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,0
200205,3,-8
200206,91,15
200207,266,70
200208,238,85
200209,76,40
200210,0,-1
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,0
200305,4,-7
200306,58,-18
200307,212,16
200308,239,86
200309,52,16
200310,0,-1
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,0,0
200405,27,16
200406,68,-8
200407,175,-21
200408,156,3
200409,64,28
200410,0,-1
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,0,0
200505,0,-11
200506,167,91
200507,266,70
200508,283,130
200509,109,73
200510,3,2
200511,0,0
200512,0,0
200601,0,0
200602,0,0
200603,0,0
200604,0,0
200605,14,3
200606,100,24
200607,285,89
200608,197,44
200609,29,-7
200610,0,-1
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,0,0
200704,0,0
200705,20,9
200706,108,32
200707,185,-11
200708,191,38
200709,68,32
200710,20,19
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,0
200805,3,-8
200806,151,75
200807,254,58
200808,131,-22
200809,60,24
200810,0,-1
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,0
200905,12,1
200906,52,-24
200907,139,-57
200908,223,70
200909,29,-7
200910,0,-1
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,0,0
201005,33,22
201006,150,74
201007,328,132
201008,224,71
201009,78,42
201010,3,2
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,0
201105,26,15
201106,118,42
201107,308,112
201108,204,51
201109,85,49
201110,3,2
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,0,0
201204,0,0
201205,44,33
201206,98,22
201207,304,108
201208,229,76
201209,51,15
201210,4,3
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,0
201305,17,6
201306,104,28
201307,317,121
201308,152,-1
201309,29,-7
201310,3,2
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,0
201405,18,7
201406,110,34
201407,208,12
201408,147,-6
201409,58,22
201410,4,3
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,0,0
201504,0,0
201505,52,41
201506,80,4
201507,239,43
201508,232,79
201509,130,94
201510,0,-1
201511,0,0
201512,0,0
201601,0,0
201602,0,0
201603,0,0
201604,0,0
201605,13,2
201606,104,28
201607,287,91
201608,295,142
201609,98,62
201610,4,3
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,0
201705,9,-2
201706,99,23
201707,218,22
201708,157,4
201709,83,47
201710,21,20
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,45,34
201806,84,8
201807,281,85
201808,287,134
201809,103,67
201810,3,2
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,0
201905,11,0
201906,88,12
201907,306,110
201908,192,39
201909,59,23
201910,4,3
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,0
202005,8,-3
202006,127,51
202007,342,146
202008,238,85
202009,51,15
202010,3,2
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,0,0
202104,0,0
202105,11,0
202106,151,75
202107,213,17
202108,268,115
202109,85,49
202110,18,17
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,0
202205,29,18
202206,90,14
202207,285,89
202208,292,139
202209,62,26
202210,0,-1
202211,0,0
202212,0,0
