#  Georgia Heating Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,625,-60
199702,446,-98
199703,222,-177
199704,239,81
199705,92,55
199706,9,8
199707,0,0
199708,0,0
199709,7,-1
199710,146,-3
199711,499,95
199712,640,-3
199801,577,-108
199802,485,-59
199803,437,38
199804,178,20
199805,13,-24
199806,0,-1
199807,0,0
199808,0,0
199809,0,-8
199810,94,-55
199811,276,-128
199812,465,-178
199901,563,-122
199902,457,-87
199903,457,58
199904,85,-73
199905,48,11
199906,2,1
199907,0,0
199908,0,0
199909,10,2
199910,148,-1
199911,290,-114
199912,602,-41
200001,677,-8
200002,446,-98
200003,290,-109
200004,211,53
200005,15,-22
200006,0,-1
200007,0,0
200008,0,0
200009,13,5
200010,132,-17
200011,422,18
200012,853,210
200101,752,67
200102,416,-128
200103,449,50
200104,118,-40
200105,35,-2
200106,3,2
200107,0,0
200108,0,0
200109,17,9
200110,202,53
200111,243,-161
200112,466,-177
200201,615,-70
200202,534,-10
200203,360,-39
200204,73,-85
200205,50,13
200206,0,-1
200207,0,0
200208,0,0
200209,0,-8
200210,81,-68
200211,458,54
200212,668,25
200301,790,105
200302,533,-11
200303,298,-101
200304,155,-3
200305,38,1
200306,4,3
200307,0,0
200308,0,0
200309,11,3
200310,145,-4
200311,253,-151
200312,704,61
200401,703,18
200402,599,55
200403,280,-119
200404,160,2
200405,13,-24
200406,0,-1
200407,0,0
200408,0,0
200409,11,3
200410,81,-68
200411,293,-111
200412,643,0
200501,565,-120
200502,467,-77
200503,435,36
200504,185,27
200505,69,32
200506,2,1
200507,0,0
200508,0,0
200509,0,-8
200510,107,-42
200511,328,-76
200512,711,68
200601,512,-173
200602,577,33
200603,365,-34
200604,73,-85
200605,44,7
200606,0,-1
200607,0,0
200608,0,0
200609,15,7
200610,188,39
200611,389,-15
200612,494,-149
200701,589,-96
200702,598,54
200703,247,-152
200704,210,52
200705,32,-5
200706,0,-1
200707,0,0
200708,0,0
200709,0,-8
200710,83,-66
200711,401,-3
200712,468,-175
200801,713,28
200802,483,-61
200803,389,-10
200804,161,3
200805,45,8
200806,0,-1
200807,0,0
200808,0,0
200809,6,-2
200810,178,29
200811,481,77
200812,517,-126
200901,681,-4
200902,543,-1
200903,360,-39
200904,182,24
200905,30,-7
200906,0,-1
200907,0,0
200908,0,0
200909,8,0
200910,173,24
200911,347,-57
200912,680,37
201001,808,123
201002,715,171
201003,469,70
201004,107,-51
201005,16,-21
201006,0,-1
201007,0,0
201008,0,0
201009,0,-8
201010,128,-21
201011,370,-34
201012,854,211
201101,791,106
201102,463,-81
201103,325,-74
201104,99,-59
201105,34,-3
201106,0,-1
201107,0,0
201108,0,0
201109,11,3
201110,198,49
201111,342,-62
201112,508,-135
201201,562,-123
201202,431,-113
201203,160,-239
201204,96,-62
201205,13,-24
201206,2,1
201207,0,0
201208,0,0
201209,8,0
201210,149,0
201211,437,33
201212,483,-160
201301,509,-176
201302,545,1
201303,542,143
201304,158,0
201305,64,27
201306,0,-1
201307,0,0
201308,0,0
201309,8,0
201310,130,-19
201311,448,44
201312,544,-99
201401,887,202
201402,515,-29
201403,452,53
201404,147,-11
201405,32,-5
201406,0,-1
201407,0,0
201408,0,0
201409,4,-4
201410,116,-33
201411,530,126
201412,508,-135
201501,713,28
201502,714,170
201503,310,-89
201504,99,-59
201505,21,-16
201506,0,-1
201507,0,0
201508,0,0
201509,9,1
201510,132,-17
201511,265,-139
201512,310,-333
201601,733,48
201602,506,-38
201603,250,-149
201604,132,-26
201605,35,-2
201606,0,-1
201607,0,0
201608,0,0
201609,0,-8
201610,74,-75
201611,290,-114
201612,524,-119
201701,477,-208
201702,339,-205
201703,320,-79
201704,65,-93
201705,32,-5
201706,2,1
201707,0,0
201708,0,0
201709,13,5
201710,102,-47
201711,333,-71
201712,582,-61
201801,786,101
201802,276,-268
201803,416,17
201804,219,61
201805,10,-27
201806,0,-1
201807,0,0
201808,0,0
201809,0,-8
201810,82,-67
201811,459,55
201812,550,-93
201901,623,-62
201902,360,-184
201903,374,-25
201904,117,-41
201905,7,-30
201906,0,-1
201907,0,0
201908,0,0
201909,0,-8
201910,64,-85
201911,437,33
201912,475,-168
202001,529,-156
202002,453,-91
202003,215,-184
202004,171,13
202005,59,22
202006,0,-1
202007,0,0
202008,0,0
202009,8,0
202010,80,-69
202011,246,-158
202012,642,-1
202101,620,-65
202102,521,-23
202103,263,-136
202104,170,12
202105,50,13
202106,0,-1
202107,0,0
202108,0,0
202109,8,0
202110,81,-68
202111,429,25
202112,360,-283
202201,684,-1
202202,427,-117
202203,301,-98
202204,162,4
202205,16,-21
202206,0,-1
202207,0,0
202208,0,0
202209,8,0
202210,188,39
202211,312,-92
202212,584,-59
