#  Massachusetts Minimum Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
# Missing: -99
Date,Value,Anomaly
200906,54.4,1.4
200907,58.1,-0.6
200908,61.1,4.4
200909,48.9,-0.5
200910,39.3,0.3
200911,36.9,6.6
200912,20.9,1.3
201001,17.8,2.8
201002,22.6,7.2
201003,32.2,7.6
201004,38.5,4.5
201005,47.9,3.8
201006,56.9,3.9
201007,62.8,4.1
201008,59.3,2.6
201009,53.9,4.5
201010,41.7,2.7
201011,32.2,1.9
201012,20.1,0.5
201101,13.1,-1.9
201102,14.4,-1.0
201103,26.2,1.6
201104,37.9,3.9
201105,48.8,4.7
201106,54.8,1.8
201107,61.5,2.8
201108,59.9,3.2
201109,55.9,6.5
201110,43.6,4.6
201111,35.0,4.7
201112,26.6,7.0
201201,21.8,6.8
201202,24.2,8.8
201203,33.7,9.1
201204,36.8,2.8
201205,50.6,6.5
201206,54.6,1.6
201207,61.6,2.9
201208,60.5,3.8
201209,51.3,1.9
201210,44.6,5.6
201211,30.6,0.3
201212,27.4,7.8
201301,18.7,3.7
201302,20.9,5.5
201303,26.6,2.0
201304,34.9,0.9
201305,45.3,1.2
201306,56.5,3.5
201307,65.8,7.1
201308,57.2,0.5
201309,49.4,0.0
201310,40.8,1.8
201311,28.8,-1.5
201312,21.1,1.5
201401,13.8,-1.2
201402,14.3,-1.1
201403,18.4,-6.2
201404,34.6,0.6
201405,46.3,2.2
201406,54.3,1.3
201407,61.0,2.3
201408,56.2,-0.5
201409,50.9,1.5
201410,44.3,5.3
201411,30.0,-0.3
201412,28.2,8.6
201501,12.3,-2.7
201502,3.1,-12.3
201503,19.1,-5.5
201504,34.7,0.7
201505,48.3,4.2
201506,53.3,0.3
201507,60.0,1.3
201508,60.2,3.5
201509,54.0,4.6
201510,39.3,0.3
201511,34.4,4.1
201512,34.0,14.4
201601,20.2,5.2
201602,20.2,4.8
201603,31.0,6.4
201604,33.5,-0.5
201605,46.3,2.2
201606,54.1,1.1
201607,60.9,2.2
201608,61.0,4.3
201609,53.8,4.4
201610,42.0,3.0
201611,32.6,2.3
201612,22.3,2.7
201701,23.9,8.9
201702,23.3,7.9
201703,22.3,-2.3
201704,39.8,5.8
201705,45.9,1.8
201706,54.8,1.8
201707,60.0,1.3
201708,56.9,0.2
201709,55.0,5.6
201710,46.7,7.7
201711,30.4,0.1
201712,19.2,-0.4
201801,15.4,0.4
201802,24.8,9.4
201803,26.9,2.3
201804,32.4,-1.6
201805,49.0,4.9
201806,53.9,0.9
201807,62.2,3.5
201808,64.3,7.6
201809,56.7,7.3
201810,41.6,2.6
201811,30.5,0.2
201812,23.9,4.3
201901,17.1,2.1
201902,19.7,4.3
201903,23.8,-0.8
201904,37.6,3.6
201905,45.6,1.5
201906,54.9,1.9
201907,62.8,4.1
201908,58.7,2.0
201909,50.4,1.0
201910,43.5,4.5
201911,28.3,-2.0
201912,22.2,2.6
202001,23.7,8.7
202002,24.2,8.8
202003,30.2,5.6
202004,33.9,-0.1
202005,44.6,0.5
202006,56.0,3.0
202007,64.5,5.8
202008,61.0,4.3
202009,51.7,2.3
202010,42.9,3.9
202011,34.0,3.7
202012,24.8,5.2
202101,21.6,6.6
202102,20.0,4.6
202103,26.7,2.1
202104,36.8,2.8
202105,46.3,2.2
202106,58.2,5.2
202107,61.4,2.7
202108,63.8,7.1
202109,55.4,6.0
202110,47.5,8.5
202111,30.4,0.1
202112,28.4,8.8
202201,13.5,-1.5
202202,19.1,3.7
202203,27.9,3.3
202204,36.2,2.2
202205,48.9,4.8
202206,54.4,1.4
202207,61.7,3.0
202208,63.0,6.3
202209,52.4,3.0
202210,42.1,3.1
202211,34.4,4.1
202212,24.2,4.6
