#  South Dakota Cooling Degree Days
# Units: Fahrenheit Degree-Days
# Base Period: 1901-2000
# Missing: -9999
Date,Value,Anomaly
199701,0,0
199702,0,0
199703,0,0
199704,0,-1
199705,11,-23
199706,157,28
199707,235,-24
199708,165,-32
199709,73,21
199710,0,-1
199711,0,0
199712,0,0
199801,0,0
199802,1,1
199803,0,0
199804,0,-1
199805,61,27
199806,72,-57
199807,263,4
199808,222,25
199809,130,78
199810,0,-1
199811,0,0
199812,0,0
199901,0,0
199902,2,2
199903,0,0
199904,0,-1
199905,29,-5
199906,110,-19
199907,287,28
199908,199,2
199909,27,-25
199910,0,-1
199911,0,0
199912,0,0
200001,0,0
200002,0,0
200003,4,4
200004,0,-1
200005,44,10
200006,106,-23
200007,259,0
200008,248,51
200009,62,10
200010,2,1
200011,0,0
200012,0,0
200101,0,0
200102,0,0
200103,0,0
200104,0,-1
200105,40,6
200106,129,0
200107,305,46
200108,250,53
200109,57,5
200110,0,-1
200111,0,0
200112,0,0
200201,0,0
200202,0,0
200203,0,0
200204,0,-1
200205,12,-22
200206,211,82
200207,378,119
200208,189,-8
200209,72,20
200210,0,-1
200211,0,0
200212,0,0
200301,0,0
200302,0,0
200303,0,0
200304,0,-1
200305,20,-14
200306,95,-34
200307,282,23
200308,281,84
200309,40,-12
200310,3,2
200311,0,0
200312,0,0
200401,0,0
200402,0,0
200403,0,0
200404,2,1
200405,26,-8
200406,73,-56
200407,203,-56
200408,106,-91
200409,85,33
200410,0,-1
200411,0,0
200412,0,0
200501,0,0
200502,0,0
200503,0,0
200504,4,3
200505,19,-15
200506,166,37
200507,301,42
200508,204,7
200509,119,67
200510,0,-1
200511,0,0
200512,0,0
200601,2,2
200602,0,0
200603,0,0
200604,6,5
200605,40,6
200606,170,41
200607,378,119
200608,222,25
200609,19,-33
200610,0,-1
200611,0,0
200612,0,0
200701,0,0
200702,0,0
200703,1,1
200704,0,-1
200705,66,32
200706,163,34
200707,334,75
200708,220,23
200709,70,18
200710,3,2
200711,0,0
200712,0,0
200801,0,0
200802,0,0
200803,0,0
200804,0,-1
200805,14,-20
200806,100,-29
200807,260,1
200808,202,5
200809,51,-1
200810,0,-1
200811,0,0
200812,0,0
200901,0,0
200902,0,0
200903,0,0
200904,0,-1
200905,28,-6
200906,93,-36
200907,146,-113
200908,129,-68
200909,68,16
200910,0,-1
200911,0,0
200912,0,0
201001,0,0
201002,0,0
201003,0,0
201004,7,6
201005,22,-12
201006,131,2
201007,254,-5
201008,272,75
201009,37,-15
201010,3,2
201011,0,0
201012,0,0
201101,0,0
201102,0,0
201103,0,0
201104,0,-1
201105,18,-16
201106,113,-16
201107,362,103
201108,214,17
201109,38,-14
201110,3,2
201111,0,0
201112,0,0
201201,0,0
201202,0,0
201203,20,20
201204,6,5
201205,52,18
201206,210,81
201207,436,177
201208,213,16
201209,69,17
201210,0,-1
201211,0,0
201212,0,0
201301,0,0
201302,0,0
201303,0,0
201304,0,-1
201305,24,-10
201306,114,-15
201307,227,-32
201308,213,16
201309,117,65
201310,0,-1
201311,0,0
201312,0,0
201401,0,0
201402,0,0
201403,0,0
201404,0,-1
201405,25,-9
201406,110,-19
201407,173,-86
201408,163,-34
201409,47,-5
201410,0,-1
201411,0,0
201412,0,0
201501,0,0
201502,0,0
201503,1,1
201504,3,2
201505,21,-13
201506,149,20
201507,232,-27
201508,163,-34
201509,118,66
201510,3,2
201511,0,0
201512,0,0
201601,0,0
201602,1,1
201603,1,1
201604,0,-1
201605,31,-3
201606,215,86
201607,258,-1
201608,203,6
201609,71,19
201610,3,2
201611,0,0
201612,0,0
201701,0,0
201702,0,0
201703,0,0
201704,0,-1
201705,23,-11
201706,159,30
201707,324,65
201708,121,-76
201709,67,15
201710,0,-1
201711,0,0
201712,0,0
201801,0,0
201802,0,0
201803,0,0
201804,0,-1
201805,87,53
201806,191,62
201807,238,-21
201808,174,-23
201809,66,14
201810,0,-1
201811,0,0
201812,0,0
201901,0,0
201902,0,0
201903,0,0
201904,0,-1
201905,9,-25
201906,134,5
201907,254,-5
201908,144,-53
201909,87,35
201910,0,-1
201911,0,0
201912,0,0
202001,0,0
202002,0,0
202003,0,0
202004,0,-1
202005,17,-17
202006,218,89
202007,278,19
202008,236,39
202009,46,-6
202010,0,-1
202011,0,0
202012,0,0
202101,0,0
202102,0,0
202103,3,3
202104,0,-1
202105,24,-10
202106,243,114
202107,296,37
202108,241,44
202109,100,48
202110,3,2
202111,0,0
202112,0,0
202201,0,0
202202,0,0
202203,0,0
202204,0,-1
202205,26,-8
202206,161,32
202207,306,47
202208,245,48
202209,102,50
202210,0,-1
202211,0,0
202212,0,0
